"400N1_1#008"
""
"Potential (V)";"Current (uA)"
"-0.55200";"-8.60208"
"-0.55000";"-8.49333"
"-0.54800";"-8.38333"
"-0.54600";"-8.26583"
"-0.54400";"-8.14958"
"-0.54200";"-8.04000"
"-0.54000";"-7.93417"
"-0.53800";"-7.83250"
"-0.53600";"-7.72750"
"-0.53400";"-7.62208"
"-0.53200";"-7.51958"
"-0.53000";"-7.42083"
"-0.52800";"-7.33000"
"-0.52600";"-7.23458"
"-0.52400";"-7.13667"
"-0.52200";"-7.03542"
"-0.52000";"-6.93292"
"-0.51800";"-6.83333"
"-0.51600";"-6.73083"
"-0.51400";"-6.63042"
"-0.51200";"-6.53542"
"-0.51000";"-6.44667"
"-0.50800";"-6.36208"
"-0.50600";"-6.26958"
"-0.50400";"-6.17542"
"-0.50200";"-6.07875"
"-0.50000";"-5.98375"
"-0.49800";"-5.88417"
"-0.49600";"-5.78750"
"-0.49400";"-5.69625"
"-0.49200";"-5.60292"
"-0.49000";"-5.50958"
"-0.48800";"-5.41250"
"-0.48600";"-5.32125"
"-0.48400";"-5.23250"
"-0.48200";"-5.14333"
"-0.48000";"-5.05458"
"-0.47800";"-4.96333"
"-0.47600";"-4.87375"
"-0.47400";"-4.78500"
"-0.47200";"-4.69500"
"-0.47000";"-4.60583"
"-0.46800";"-4.51375"
"-0.46600";"-4.42583"
"-0.46400";"-4.33792"
"-0.46200";"-4.24917"
"-0.46000";"-4.16167"
"-0.45800";"-4.07375"
"-0.45600";"-3.98875"
"-0.45400";"-3.90542"
"-0.45200";"-3.82042"
"-0.45000";"-3.73833"
"-0.44800";"-3.65125"
"-0.44600";"-3.56750"
"-0.44400";"-3.48542"
"-0.44200";"-3.40417"
"-0.44000";"-3.32458"
"-0.43800";"-3.24250"
"-0.43600";"-3.16375"
"-0.43400";"-3.08708"
"-0.43200";"-3.01208"
"-0.43000";"-2.93750"
"-0.42800";"-2.86000"
"-0.42600";"-2.78458"
"-0.42400";"-2.71083"
"-0.42200";"-2.63958"
"-0.42000";"-2.57042"
"-0.41800";"-2.50042"
"-0.41600";"-2.43125"
"-0.41400";"-2.36458"
"-0.41200";"-2.29917"
"-0.41000";"-2.23542"
"-0.40800";"-2.16875"
"-0.40600";"-2.10500"
"-0.40400";"-2.04583"
"-0.40200";"-1.98625"
"-0.40000";"-1.92750"
"-0.39800";"-1.86625"
"-0.39600";"-1.81042"
"-0.39400";"-1.75833"
"-0.39200";"-1.70833"
"-0.39000";"-1.65417"
"-0.38800";"-1.60125"
"-0.38600";"-1.55167"
"-0.38400";"-1.50792"
"-0.38200";"-1.46125"
"-0.38000";"-1.41500"
"-0.37800";"-1.36917"
"-0.37600";"-1.33000"
"-0.37400";"-1.29000"
"-0.37200";"-1.25333"
"-0.37000";"-1.21125"
"-0.36800";"-1.17250"
"-0.36600";"-1.13625"
"-0.36400";"-1.10333"
"-0.36200";"-1.07000"
"-0.36000";"-1.03500"
"-0.35800";"-1.00042"
"-0.35600";"-0.97250"
"-0.35400";"-0.94250"
"-0.35200";"-0.91375"
"-0.35000";"-0.88167"
"-0.34800";"-0.85542"
"-0.34600";"-0.83167"
"-0.34400";"-0.80750"
"-0.34200";"-0.78000"
"-0.34000";"-0.75375"
"-0.33800";"-0.72750"
"-0.33600";"-0.70833"
"-0.33400";"-0.68417"
"-0.33200";"-0.66458"
"-0.33000";"-0.63958"
"-0.32800";"-0.62125"
"-0.32600";"-0.60417"
"-0.32400";"-0.58750"
"-0.32200";"-0.57000"
"-0.32000";"-0.54875"
"-0.31800";"-0.53042"
"-0.31600";"-0.51667"
"-0.31400";"-0.50250"
"-0.31200";"-0.48833"
"-0.31000";"-0.46917"
"-0.30800";"-0.45417"
"-0.30600";"-0.44083"
"-0.30400";"-0.42875"
"-0.30200";"-0.41500"
"-0.30000";"-0.40000"
"-0.29800";"-0.38667"
"-0.29600";"-0.37500"
"-0.29400";"-0.36125"
"-0.29200";"-0.34875"
"-0.29000";"-0.33625"
"-0.28800";"-0.32625"
"-0.28600";"-0.31833"
"-0.28400";"-0.30708"
"-0.28200";"-0.29625"
"-0.28000";"-0.28375"
"-0.27800";"-0.27333"
"-0.27600";"-0.26750"
"-0.27400";"-0.25667"
"-0.27200";"-0.24708"
"-0.27000";"-0.23458"
"-0.26800";"-0.22708"
"-0.26600";"-0.22167"
"-0.26400";"-0.21417"
"-0.26200";"-0.20625"
"-0.26000";"-0.19583"
"-0.25800";"-0.18667"
"-0.25600";"-0.17875"
"-0.25400";"-0.17167"
"-0.25200";"-0.16542"
"-0.25000";"-0.15708"
"-0.24800";"-0.15208"
"-0.24600";"-0.14458"
"-0.24400";"-0.13750"
"-0.24200";"-0.12833"
"-0.24000";"-0.12042"
"-0.23800";"-0.11417"
"-0.23600";"-0.10750"
"-0.23400";"-0.10250"
"-0.23200";"-0.09750"
"-0.23000";"-0.09167"
"-0.22800";"-0.08750"
"-0.22600";"-0.08000"
"-0.22400";"-0.07375"
"-0.22200";"-0.06833"
"-0.22000";"-0.06333"
"-0.21800";"-0.06167"
"-0.21600";"-0.05708"
"-0.21400";"-0.05625"
"-0.21200";"-0.04875"
"-0.21000";"-0.04250"
"-0.20800";"-0.03708"
"-0.20600";"-0.03250"
"-0.20400";"-0.02542"
"-0.20200";"-0.01667"
"-0.20000";"-0.01167"
"-0.19800";"-0.01042"
"-0.19600";"-0.00958"
"-0.19400";"-0.00500"
"-0.19200";"0.00208"
"-0.19000";"0.00792"
"-0.18800";"0.00833"
"-0.18600";"0.01125"
"-0.18400";"0.01458"
"-0.18200";"0.02083"
"-0.18000";"0.02417"
"-0.17800";"0.02583"
"-0.17600";"0.03333"
"-0.17400";"0.03667"
"-0.17200";"0.04542"
"-0.17000";"0.04583"
"-0.16800";"0.04875"
"-0.16600";"0.05167"
"-0.16400";"0.05583"
"-0.16200";"0.06167"
"-0.16000";"0.06625"
"-0.15800";"0.06917"
"-0.15600";"0.07333"
"-0.15400";"0.07708"
"-0.15200";"0.08125"
"-0.15000";"0.08500"
"-0.14800";"0.08667"
"-0.14600";"0.09208"
"-0.14400";"0.09750"
"-0.14200";"0.10333"
"-0.14000";"0.10542"
"-0.13800";"0.10583"
"-0.13600";"0.11000"
"-0.13400";"0.11625"
"-0.13200";"0.12208"
"-0.13000";"0.12500"
"-0.12800";"0.12583"
"-0.12600";"0.13000"
"-0.12400";"0.13250"
"-0.12200";"0.13833"
"-0.12000";"0.13833"
"-0.11800";"0.14250"
"-0.11600";"0.14458"
"-0.11400";"0.15167"
"-0.11200";"0.15583"
"-0.11000";"0.15708"
"-0.10800";"0.16042"
"-0.10600";"0.16500"
"-0.10400";"0.17167"
"-0.10200";"0.17625"
"-0.10000";"0.17625"
"-0.09800";"0.18042"
"-0.09600";"0.18292"
"-0.09400";"0.18792"
"-0.09200";"0.19167"
"-0.09000";"0.19167"
"-0.08800";"0.19667"
"-0.08600";"0.19833"
"-0.08400";"0.20583"
"-0.08200";"0.20917"
"-0.08000";"0.21042"
"-0.07800";"0.21333"
"-0.07600";"0.22000"
"-0.07400";"0.22958"
"-0.07200";"0.23417"
"-0.07000";"0.23250"
"-0.06800";"0.23583"
"-0.06600";"0.23833"
"-0.06400";"0.24333"
"-0.06200";"0.24458"
"-0.06000";"0.24792"
"-0.05800";"0.25208"
"-0.05600";"0.25708"
"-0.05400";"0.26250"
"-0.05200";"0.26792"
"-0.05000";"0.26917"
"-0.04800";"0.27208"
"-0.04600";"0.27792"
"-0.04400";"0.28333"
"-0.04200";"0.29000"
"-0.04000";"0.29042"
"-0.03800";"0.29750"
"-0.03600";"0.30083"
"-0.03400";"0.30625"
"-0.03200";"0.31333"
"-0.03000";"0.31833"
"-0.02800";"0.32458"
"-0.02600";"0.32792"
"-0.02400";"0.33625"
"-0.02200";"0.34417"
"-0.02000";"0.35167"
"-0.01800";"0.35917"
"-0.01600";"0.36708"
"-0.01400";"0.37708"
"-0.01200";"0.38625"
"-0.01000";"0.39500"
"-0.00800";"0.40167"
"-0.00600";"0.41125"
"-0.00400";"0.42375"
"-0.00200";"0.43792"
"0.00000";"0.45000"
"0.00200";"0.46292"
"0.00400";"0.47458"
"0.00600";"0.48708"
"0.00800";"0.49667"
"0.01000";"0.51083"
"0.01200";"0.52625"
"0.01400";"0.54792"
"0.01600";"0.56792"
"0.01800";"0.58667"
"0.02000";"0.60667"
"0.02200";"0.62833"
"0.02400";"0.65417"
"0.02600";"0.68125"
"0.02800";"0.70750"
"0.03000";"0.73500"
"0.03200";"0.76375"
"0.03400";"0.79875"
"0.03600";"0.83583"
"0.03800";"0.87083"
"0.04000";"0.91000"
"0.04200";"0.95542"
"0.04400";"1.00458"
"0.04600";"1.05667"
"0.04800";"1.10500"
"0.05000";"1.16333"
"0.05200";"1.22333"
"0.05400";"1.29375"
"0.05600";"1.36500"
"0.05800";"1.43333"
"0.06000";"1.51167"
"0.06200";"1.59833"
"0.06400";"1.69833"
"0.06600";"1.79958"
"0.06800";"1.89875"
"0.07000";"2.00792"
"0.07200";"2.12500"
"0.07400";"2.25792"
"0.07600";"2.40083"
"0.07800";"2.54458"
"0.08000";"2.70083"
"0.08200";"2.86625"
"0.08400";"3.05125"
"0.08600";"3.24667"
"0.08800";"3.44000"
"0.09000";"3.65333"
"0.09200";"3.88083"
"0.09400";"4.14000"
"0.09600";"4.40500"
"0.09800";"4.67167"
"0.10000";"4.95750"
"0.10200";"5.26833"
"0.10400";"5.61292"
"0.10600";"5.97583"
"0.10800";"6.33750"
"0.11000";"6.72292"
"0.11200";"7.13958"
"0.11400";"7.60417"
"0.11600";"8.09000"
"0.11800";"8.57375"
"0.12000";"9.08875"
"0.12200";"9.63333"
"0.12400";"10.23000"
"0.12600";"10.82125"
"0.12800";"11.44500"
"0.13000";"12.10125"
"0.13200";"12.81875"
"0.13400";"13.56542"
"0.13600";"14.31583"
"0.13800";"15.10542"
"0.14000";"15.93708"
"0.14200";"16.83708"
"0.14400";"17.77250"
"0.14600";"18.70542"
"0.14800";"19.68417"
"0.15000";"20.69792"
"0.15200";"21.79667"
"0.15400";"22.91208"
"0.15600";"24.01875"
"0.15800";"25.16042"
"0.16000";"26.31500"
"0.16200";"27.54708"
"0.16400";"28.79333"
"0.16600";"29.49458"
"0.16800";"30.36417"
"0.17000";"31.30417"
"0.17200";"32.91250"
"0.17400";"34.40834"
"0.17600";"35.83750"
"0.17800";"37.27500"
"0.18000";"38.72917"
"0.18200";"40.25417"
"0.18400";"41.76250"
"0.18600";"43.23750"
"0.18800";"44.71250"
"0.19000";"46.18750"
"0.19200";"47.69583"
"0.19400";"49.18333"
"0.19600";"50.60000"
"0.19800";"52.01667"
"0.20000";"53.43750"
"0.20200";"54.91250"
"0.20400";"56.36250"
"0.20600";"57.72917"
"0.20800";"59.06667"
"0.21000";"60.38750"
"0.21200";"61.73333"
"0.21400";"63.08333"
"0.21600";"64.34167"
"0.21800";"65.59167"
"0.22000";"66.79583"
"0.22200";"68.04166"
"0.22400";"69.24999"
"0.22600";"70.34166"
"0.22800";"71.39167"
"0.23000";"72.41250"
"0.23200";"73.48750"
"0.23400";"74.50834"
"0.23600";"75.45834"
"0.23800";"76.37084"
"0.24000";"77.27500"
"0.24200";"78.21667"
"0.24400";"79.15000"
"0.24600";"80.00833"
"0.24800";"80.84167"
"0.25000";"81.60834"
"0.25200";"82.36250"
"0.25400";"82.96250"
"0.25600";"83.49167"
"0.25800";"83.97083"
"0.26000";"84.44167"
"0.26200";"84.86667"
"0.26400";"85.21250"
"0.26600";"85.53333"
"0.26800";"85.82084"
"0.27000";"86.10416"
"0.27200";"86.35834"
"0.27400";"86.54166"
"0.27600";"86.70834"
"0.27800";"86.85000"
"0.28000";"86.99167"
"0.28200";"87.08750"
"0.28400";"87.11250"
