"400N1_1#005"
""
"Potential (V)";"Current (uA)"
"0.52600";"2.89792"
"0.52800";"2.89000"
"0.53000";"2.88208"
"0.53200";"2.87458"
"0.53400";"2.86750"
"0.53600";"2.86083"
"0.53800";"2.85375"
"0.54000";"2.84667"
"0.54200";"2.84000"
"0.54400";"2.83375"
"0.54600";"2.82708"
"0.54800";"2.82042"
"0.55000";"2.81333"
"0.55200";"2.80667"
"0.55400";"2.80042"
"0.55600";"2.79417"
"0.55800";"2.78792"
"0.56000";"2.78083"
"0.56200";"2.77500"
"0.56400";"2.76917"
"0.56600";"2.76375"
"0.56800";"2.75792"
"0.57000";"2.75208"
"0.57200";"2.74583"
"0.57400";"2.74000"
"0.57600";"2.73458"
"0.57800";"2.72958"
"0.58000";"2.72333"
"0.58200";"2.71750"
"0.58400";"2.71167"
"0.58600";"2.70667"
"0.58800";"2.70125"
"0.59000";"2.69583"
"0.59200";"2.69083"
"0.59400";"2.68542"
"0.59600";"2.68000"
"0.59800";"2.67458"
"0.60000";"2.67000"
"0.59800";"2.64708"
"0.59600";"2.63042"
"0.59400";"2.61917"
"0.59200";"2.60958"
"0.59000";"2.60000"
"0.58800";"2.59167"
"0.58600";"2.58333"
"0.58400";"2.57542"
"0.58200";"2.56833"
"0.58000";"2.56208"
"0.57800";"2.55583"
"0.57600";"2.54875"
"0.57400";"2.54208"
"0.57200";"2.53542"
"0.57000";"2.52917"
"0.56800";"2.52208"
"0.56600";"2.51542"
"0.56400";"2.50875"
"0.56200";"2.50250"
"0.56000";"2.49708"
"0.55800";"2.49125"
"0.55600";"2.48542"
"0.55400";"2.47917"
"0.55200";"2.47417"
"0.55000";"2.46833"
"0.54800";"2.46250"
"0.54600";"2.45583"
"0.54400";"2.45083"
"0.54200";"2.44542"
"0.54000";"2.44042"
"0.53800";"2.43417"
"0.53600";"2.42958"
"0.53400";"2.42458"
"0.53200";"2.42042"
"0.53000";"2.41417"
