"400N1_1#001"
""
"Potential (V)";"Current (uA)"
"0.26000";"52.00000"
"0.25800";"47.45833"
"0.25600";"43.08333"
"0.25400";"38.66667"
"0.25200";"34.25000"
"0.25000";"29.66667"
"0.24800";"25.20833"
"0.24600";"20.75000"
"0.24400";"16.25000"
"0.24200";"11.66667"
"0.24000";"7.04167"
"0.23800";"2.66667"
"0.23600";"-1.75000"
"0.23400";"-6.16667"
"0.23200";"-10.87500"
"0.23000";"-15.50000"
"0.22800";"-20.04167"
"0.22600";"-24.54167"
"0.22400";"-29.20833"
"0.22200";"-33.95833"
"0.22000";"-38.62500"
"0.21800";"-43.25000"
"0.21600";"-47.79167"
"0.21400";"-52.45833"
"0.21200";"-57.08333"
"0.21000";"-61.83333"
"0.20800";"-66.41666"
"0.20600";"-71.04166"
"0.20400";"-75.62500"
"0.20200";"-80.33334"
"0.20000";"-85.08334"
"0.19800";"-89.79166"
"0.19600";"-94.37500"
"0.19400";"-99.00000"
"0.19200";"-103.66666"
"0.19000";"-108.50000"
"0.18800";"-113.16666"
"0.18600";"-117.75000"
"0.18400";"-122.20834"
"0.18200";"-126.75000"
"0.18000";"-131.41667"
"0.17800";"-135.95833"
"0.17600";"-140.54167"
"0.17400";"-145.00000"
"0.17200";"-149.70833"
"0.17000";"-154.29167"
"0.16800";"-158.83333"
"0.16600";"-163.45833"
"0.16400";"-168.29167"
"0.16200";"-173.29167"
"0.16000";"-178.12500"
"0.15800";"-182.70833"
"0.15600";"-187.20833"
"0.15400";"-191.70833"
"0.15200";"-196.29167"
"0.15000";"-200.87500"
"0.14800";"-205.29167"
"0.14600";"-209.70833"
"0.14400";"-214.00000"
"0.14200";"-218.50000"
"0.14000";"-222.87500"
"0.13800";"-227.16667"
"0.13600";"-231.29167"
"0.13400";"-235.45833"
"0.13200";"-239.70833"
"0.13000";"-244.04167"
"0.12800";"-248.08333"
"0.12600";"-252.04167"
"0.12400";"-255.87500"
"0.12200";"-260.00000"
"0.12000";"-264.00000"
"0.11800";"-267.95834"
"0.11600";"-271.79166"
"0.11400";"-275.70834"
"0.11200";"-279.66666"
"0.11000";"-283.41666"
"0.10800";"-287.12500"
"0.10600";"-290.70834"
"0.10400";"-294.37500"
"0.10200";"-298.00000"
"0.10000";"-301.50000"
"0.09800";"-304.91666"
"0.09600";"-308.33334"
"0.09400";"-311.75000"
"0.09200";"-315.12500"
