"400N1_1#002"
""
"Potential (V)";"Current (uA)"
"0.62200";"804.87500"
"0.62400";"801.00000"
"0.62600";"797.16669"
"0.62800";"793.25000"
"0.63000";"789.25000"
"0.63200";"785.29169"
"0.63400";"781.29169"
"0.63600";"777.45831"
"0.63800";"773.54169"
"0.64000";"769.83331"
"0.64200";"766.25000"
"0.64400";"762.79169"
"0.64600";"759.20831"
"0.64800";"755.58331"
"0.65000";"752.00000"
"0.65200";"748.54169"
"0.65400";"745.12500"
"0.65600";"741.75000"
"0.65800";"738.33331"
"0.66000";"734.95831"
"0.66200";"731.58331"
"0.66400";"728.29169"
"0.66600";"725.08331"
"0.66800";"721.87500"
"0.67000";"718.66669"
"0.67200";"715.37500"
"0.67400";"712.16669"
"0.67600";"709.04169"
"0.67800";"705.91669"
"0.68000";"702.87500"
"0.68200";"699.83331"
"0.68400";"696.91669"
"0.68600";"694.04169"
"0.68800";"691.16669"
"0.69000";"688.29169"
"0.69200";"685.50000"
"0.69400";"682.83331"
"0.69600";"680.29169"
"0.69800";"677.62500"
"0.70000";"675.00000"
"0.70200";"672.33331"
"0.70400";"669.75000"
"0.70600";"667.20831"
"0.70800";"664.70831"
"0.71000";"662.29169"
"0.71200";"659.87500"
"0.71400";"657.45831"
"0.71600";"655.04169"
"0.71800";"652.54169"
"0.72000";"650.16669"
"0.72200";"647.87500"
"0.72400";"645.66669"
"0.72600";"643.45831"
"0.72800";"641.16669"
"0.73000";"639.00000"
"0.73200";"636.87500"
"0.73400";"634.79169"
"0.73600";"632.66669"
"0.73800";"630.41669"
"0.74000";"628.29169"
"0.74200";"626.25000"
"0.74400";"624.29169"
"0.74600";"622.29169"
"0.74800";"620.25000"
"0.75000";"618.29169"
"0.75200";"616.37500"
"0.75400";"614.45831"
"0.75600";"612.50000"
"0.75800";"610.54169"
"0.76000";"608.66669"
"0.76200";"606.79169"
"0.76400";"604.95831"
"0.76600";"603.08331"
"0.76800";"601.29169"
"0.77000";"599.58331"
"0.77200";"597.91669"
"0.77400";"596.33331"
"0.77600";"594.66669"
"0.77800";"593.04169"
"0.78000";"591.45831"
"0.78200";"589.91669"
"0.78400";"588.45831"
"0.78600";"587.00000"
"0.78800";"585.58331"
"0.79000";"584.12500"
