"400N1_1#002"
""
"Potential (V)";"Current (uA)"
"-0.55200";"-7.81667"
"-0.55000";"-7.77500"
"-0.54800";"-7.73750"
"-0.54600";"-7.69583"
"-0.54400";"-7.65417"
"-0.54200";"-7.60833"
"-0.54000";"-7.57083"
"-0.53800";"-7.53333"
"-0.53600";"-7.49583"
"-0.53400";"-7.45417"
"-0.53200";"-7.41250"
"-0.53000";"-7.37917"
"-0.52800";"-7.33750"
"-0.52600";"-7.30000"
"-0.52400";"-7.25417"
"-0.52200";"-7.22083"
"-0.52000";"-7.18333"
"-0.51800";"-7.15000"
"-0.51600";"-7.11667"
"-0.51400";"-7.07917"
"-0.51200";"-7.04583"
"-0.51000";"-7.01250"
"-0.50800";"-6.98333"
"-0.50600";"-6.95000"
"-0.50400";"-6.91667"
"-0.50200";"-6.88750"
"-0.50000";"-6.85417"
"-0.49800";"-6.81667"
"-0.49600";"-6.77500"
"-0.49400";"-6.74167"
"-0.49200";"-6.70833"
"-0.49000";"-6.67500"
"-0.48800";"-6.64583"
"-0.48600";"-6.61667"
"-0.48400";"-6.59167"
"-0.48200";"-6.56250"
"-0.48000";"-6.53333"
"-0.47800";"-6.50417"
"-0.47600";"-6.47500"
"-0.47400";"-6.44583"
"-0.47200";"-6.41250"
"-0.47000";"-6.38333"
"-0.46800";"-6.35000"
"-0.46600";"-6.32500"
"-0.46400";"-6.30000"
"-0.46200";"-6.27917"
"-0.46000";"-6.25833"
"-0.45800";"-6.23333"
"-0.45600";"-6.20833"
"-0.45400";"-6.17917"
"-0.45200";"-6.15000"
"-0.45000";"-6.12500"
"-0.44800";"-6.09167"
"-0.44600";"-6.06667"
"-0.44400";"-6.03750"
"-0.44200";"-6.02083"
"-0.44000";"-6.00000"
"-0.43800";"-5.97917"
"-0.43600";"-5.95000"
"-0.43400";"-5.92083"
"-0.43200";"-5.89583"
"-0.43000";"-5.87500"
"-0.42800";"-5.84583"
"-0.42600";"-5.82083"
"-0.42400";"-5.79583"
"-0.42200";"-5.77083"
"-0.42000";"-5.74583"
"-0.41800";"-5.72083"
"-0.41600";"-5.70417"
"-0.41400";"-5.68333"
"-0.41200";"-5.66250"
"-0.41000";"-5.64167"
"-0.40800";"-5.62083"
"-0.40600";"-5.60417"
"-0.40400";"-5.58333"
"-0.40200";"-5.56250"
"-0.40000";"-5.54167"
"-0.39800";"-5.52083"
"-0.39600";"-5.50000"
"-0.39400";"-5.47500"
"-0.39200";"-5.45417"
"-0.39000";"-5.43333"
"-0.38800";"-5.41250"
"-0.38600";"-5.39167"
"-0.38400";"-5.37500"
"-0.38200";"-5.35833"
"-0.38000";"-5.33750"
"-0.37800";"-5.31667"
"-0.37600";"-5.30000"
"-0.37400";"-5.27917"
"-0.37200";"-5.25833"
"-0.37000";"-5.23750"
"-0.36800";"-5.22083"
"-0.36600";"-5.20000"
"-0.36400";"-5.17917"
"-0.36200";"-5.15833"
"-0.36000";"-5.13750"
"-0.35800";"-5.11667"
"-0.35600";"-5.10000"
"-0.35400";"-5.08333"
"-0.35200";"-5.07083"
"-0.35000";"-5.05000"
"-0.34800";"-5.03750"
"-0.34600";"-5.01667"
"-0.34400";"-5.00417"
"-0.34200";"-4.98750"
"-0.34000";"-4.97500"
"-0.33800";"-4.95833"
"-0.33600";"-4.93333"
"-0.33400";"-4.91250"
"-0.33200";"-4.90000"
"-0.33000";"-4.89583"
"-0.32800";"-4.87917"
"-0.32600";"-4.85833"
"-0.32400";"-4.84167"
"-0.32200";"-4.82917"
"-0.32000";"-4.81667"
"-0.31800";"-4.79583"
"-0.31600";"-4.77917"
"-0.31400";"-4.76250"
"-0.31200";"-4.74583"
"-0.31000";"-4.72917"
"-0.30800";"-4.70833"
"-0.30600";"-4.69583"
"-0.30400";"-4.67917"
"-0.30200";"-4.67083"
"-0.30000";"-4.65417"
"-0.29800";"-4.63750"
"-0.29600";"-4.61667"
"-0.29400";"-4.60000"
"-0.29200";"-4.58750"
"-0.29000";"-4.57083"
"-0.28800";"-4.55417"
"-0.28600";"-4.53750"
"-0.28400";"-4.52500"
"-0.28200";"-4.51250"
"-0.28000";"-4.49583"
"-0.27800";"-4.47917"
"-0.27600";"-4.46667"
"-0.27400";"-4.45833"
"-0.27200";"-4.45000"
"-0.27000";"-4.43750"
"-0.26800";"-4.42500"
"-0.26600";"-4.41250"
"-0.26400";"-4.40417"
"-0.26200";"-4.40000"
"-0.26000";"-4.39583"
"-0.25800";"-4.38333"
"-0.25600";"-4.36667"
"-0.25400";"-4.35000"
"-0.25200";"-4.33750"
"-0.25000";"-4.32500"
"-0.24800";"-4.30833"
"-0.24600";"-4.30000"
"-0.24400";"-4.29167"
"-0.24200";"-4.28750"
"-0.24000";"-4.27917"
"-0.23800";"-4.26250"
"-0.23600";"-4.24583"
"-0.23400";"-4.20833"
"-0.23200";"-4.17917"
"-0.23000";"-4.15417"
"-0.22800";"-4.13750"
"-0.22600";"-4.12917"
"-0.22400";"-4.11667"
"-0.22200";"-4.10833"
"-0.22000";"-4.09167"
"-0.21800";"-4.07500"
"-0.21600";"-4.06667"
"-0.21400";"-4.05833"
"-0.21200";"-4.04583"
"-0.21000";"-4.03333"
"-0.20800";"-4.01250"
"-0.20600";"-3.99583"
"-0.20400";"-3.97917"
"-0.20200";"-3.97083"
"-0.20000";"-3.95833"
"-0.19800";"-3.94167"
"-0.19600";"-3.92917"
"-0.19400";"-3.92500"
"-0.19200";"-3.91667"
"-0.19000";"-3.90833"
"-0.18800";"-3.90000"
"-0.18600";"-3.88750"
"-0.18400";"-3.86667"
"-0.18200";"-3.84167"
"-0.18000";"-3.82083"
"-0.17800";"-3.81250"
"-0.17600";"-3.80417"
"-0.17400";"-3.80000"
"-0.17200";"-3.78333"
"-0.17000";"-3.76667"
"-0.16800";"-3.75000"
"-0.16600";"-3.74167"
"-0.16400";"-3.73333"
"-0.16200";"-3.72500"
"-0.16000";"-3.70833"
"-0.15800";"-3.69167"
"-0.15600";"-3.68333"
"-0.15400";"-3.67500"
"-0.15200";"-3.66667"
"-0.15000";"-3.65000"
"-0.14800";"-3.63750"
"-0.14600";"-3.62500"
"-0.14400";"-3.61667"
"-0.14200";"-3.60417"
"-0.14000";"-3.59167"
"-0.13800";"-3.57917"
"-0.13600";"-3.56250"
"-0.13400";"-3.55417"
"-0.13200";"-3.53750"
"-0.13000";"-3.52917"
"-0.12800";"-3.51250"
"-0.12600";"-3.50417"
"-0.12400";"-3.49583"
"-0.12200";"-3.48750"
"-0.12000";"-3.47500"
"-0.11800";"-3.45833"
"-0.11600";"-3.45000"
"-0.11400";"-3.44167"
"-0.11200";"-3.43333"
"-0.11000";"-3.42083"
"-0.10800";"-3.40833"
"-0.10600";"-3.39583"
"-0.10400";"-3.37500"
"-0.10200";"-3.35833"
"-0.10000";"-3.34583"
"-0.09800";"-3.33750"
"-0.09600";"-3.32500"
"-0.09400";"-3.31667"
"-0.09200";"-3.30417"
"-0.09000";"-3.29167"
"-0.08800";"-3.27917"
"-0.08600";"-3.26667"
"-0.08400";"-3.25000"
"-0.08200";"-3.22917"
"-0.08000";"-3.22083"
"-0.07800";"-3.21667"
"-0.07600";"-3.20833"
"-0.07400";"-3.19167"
"-0.07200";"-3.17500"
"-0.07000";"-3.15833"
"-0.06800";"-3.14167"
"-0.06600";"-3.12500"
"-0.06400";"-3.11250"
"-0.06200";"-3.10000"
"-0.06000";"-3.08333"
"-0.05800";"-3.06667"
"-0.05600";"-3.05000"
"-0.05400";"-3.03750"
"-0.05200";"-3.02083"
"-0.05000";"-3.00833"
"-0.04800";"-2.99583"
"-0.04600";"-2.97500"
"-0.04400";"-2.95417"
"-0.04200";"-2.93333"
"-0.04000";"-2.92500"
"-0.03800";"-2.90417"
"-0.03600";"-2.87917"
"-0.03400";"-2.85417"
"-0.03200";"-2.83333"
"-0.03000";"-2.81667"
"-0.02800";"-2.79583"
"-0.02600";"-2.77917"
"-0.02400";"-2.75833"
"-0.02200";"-2.74167"
"-0.02000";"-2.72083"
"-0.01800";"-2.70000"
"-0.01600";"-2.67500"
"-0.01400";"-2.64583"
"-0.01200";"-2.61667"
"-0.01000";"-2.58750"
"-0.00800";"-2.55833"
"-0.00600";"-2.52083"
"-0.00400";"-2.48333"
"-0.00200";"-2.44167"
"0.00000";"-2.40417"
"0.00200";"-2.35417"
"0.00400";"-2.30000"
"0.00600";"-2.24167"
"0.00800";"-2.18750"
"0.01000";"-2.13750"
"0.01200";"-2.08333"
"0.01400";"-2.02500"
"0.01600";"-1.96250"
"0.01800";"-1.90417"
"0.02000";"-1.82917"
"0.02200";"-1.75000"
"0.02400";"-1.65833"
"0.02600";"-1.57500"
"0.02800";"-1.49167"
"0.03000";"-1.41250"
"0.03200";"-1.33333"
"0.03400";"-1.24167"
"0.03600";"-1.15417"
"0.03800";"-1.06250"
"0.04000";"-0.97500"
"0.04200";"-0.86667"
"0.04400";"-0.75833"
"0.04600";"-0.63333"
"0.04800";"-0.51250"
"0.05000";"-0.36250"
"0.05200";"-0.20417"
"0.05400";"-0.03333"
"0.05600";"0.13333"
"0.05800";"0.30000"
"0.06000";"0.49167"
